time/s	Ewe/V	x	Q discharge/mA.h	Q charge/mA.h	
1,615073959199799E+003	2,9700491E+000	9,944423489426555E-001	0,000000000000000E+000	1,171895401890122E-002
1,625073958947178E+003	2,9710419E+000	9,942571084504975E-001	0,000000000000000E+000	1,210955515374038E-002
1,635073958694557E+003	2,9720156E+000	9,940718653917099E-001	0,000000000000000E+000	1,250016170061671E-002
1,645073958441935E+003	2,9729319E+000	9,938866241171703E-001	0,000000000000000E+000	1,289076448519819E-002
1,655073958189314E+003	2,9746883E+000	9,937013821428461E-001	0,000000000000000E+000	1,328136874535723E-002
1,665073957936693E+003	2,9755094E+000	9,935161370155284E-001	0,000000000000000E+000	1,367197965396983E-002
1,675073957684072E+003	2,9765785E+000	9,933308879018942E-001	0,000000000000000E+000	1,406259896819502E-002
1,685073957431450E+003	2,9774184E+000	9,931456442010339E-001	0,000000000000000E+000	1,445320686895609E-002
1,695073957178829E+003	2,9782393E+000	9,929604045884952E-001	0,000000000000000E+000	1,484380614901542E-002
1,705073956926208E+003	2,9788504E+000	9,927751628203743E-001	0,000000000000000E+000	1,523440997437099E-002
1,715073956673587E+003	2,9798241E+000	9,925899205895917E-001	0,000000000000000E+000	1,562501477530227E-002
1,725073956420965E+003	2,9805305E+000	9,924046779904951E-001	0,000000000000000E+000	1,601562035286635E-002
1,735073956168344E+003	2,9812176E+000	9,922194358540010E-001	0,000000000000000E+000	1,640622495497971E-002
1,745073955915723E+003	2,9818859E+000	9,920341952637911E-001	0,000000000000000E+000	1,679682629657248E-002
1,755073955663102E+003	2,9825923E+000	9,918489553686332E-001	0,000000000000000E+000	1,718742617256734E-002
1,765073955410480E+003	2,9833179E+000	9,916637101469361E-001	0,000000000000000E+000	1,757803728018992E-002
1,775073955157859E+003	2,9839096E+000	9,914784657782834E-001	0,000000000000000E+000	1,796864658906933E-002
1,785073954905238E+003	2,9845207E+000	9,912932247426232E-001	0,000000000000000E+000	1,835924886994603E-002
1,795073954652617E+003	2,9850743E+000	9,911079819867898E-001	0,000000000000000E+000	1,874985477800793E-002
1,805073954399995E+003	2,9855707E+000	9,909227376448099E-001	0,000000000000000E+000	1,914046403064456E-002
1,815073954147374E+003	2,9860289E+000	9,907374977749751E-001	0,000000000000000E+000	1,953106385324276E-002
1,825073953894753E+003	2,9867160E+000	9,905522637933193E-001	0,000000000000000E+000	1,992165125993020E-002
1,835073953642132E+003	2,9871171E+000	9,903670303109096E-001	0,000000000000000E+000	2,031223761389944E-002
1,845073953389510E+003	2,9876134E+000	9,901817928076366E-001	0,000000000000000E+000	2,070283244632641E-002
1,855073953136889E+003	2,9881098E+000	9,899965556029453E-001	0,000000000000000E+000	2,109342664915946E-002
1,865073952884268E+003	2,9885490E+000	9,898113175144161E-001	0,000000000000000E+000	2,148402271566749E-002
1,875073952631647E+003	2,9891598E+000	9,896260778142986E-001	0,000000000000000E+000	2,187462218039691E-002
1,885073952379025E+003	2,9892745E+000	9,894408360479282E-001	0,000000000000000E+000	2,226522600206113E-002
1,895073952126404E+003	2,9897709E+000	9,892555999402446E-001	0,000000000000000E+000	2,265581789172566E-002
1,905073951873783E+003	2,9901335E+000	9,890703681356805E-001	0,000000000000000E+000	2,304640070776188E-002
1,915073951621162E+003	2,9904008E+000	9,888851321232762E-001	0,000000000000000E+000	2,343699239651902E-002
1,925073951368540E+003	2,9907253E+000	9,886998924298337E-001	0,000000000000000E+000	2,382759184717347E-002
1,935073951115919E+003	2,9910309E+000	9,885146512453444E-001	0,000000000000000E+000	2,421819444187359E-002
1,945073950863298E+003	2,9914889E+000	9,883294156349847E-001	0,000000000000000E+000	2,460878528287304E-002
1,955073950610677E+003	2,9917755E+000	9,881441819053646E-001	0,000000000000000E+000	2,499937215811388E-002
1,965073950358055E+003	2,9919281E+000	9,879589443484378E-001	0,000000000000000E+000	2,538996710367626E-002
1,975073950105434E+003	2,9921381E+000	9,877737060048931E-001	0,000000000000000E+000	2,578056370791422E-002
1,985073949852813E+003	2,9925773E+000	9,875884666765982E-001	0,000000000000000E+000	2,617116238861242E-002
1,995073949600192E+003	2,9929018E+000	9,874032309190426E-001	0,000000000000000E+000	2,656175353999147E-002
2,005073949347570E+003	2,9932454E+000	9,872179948966061E-001	0,000000000000000E+000	2,695234524990247E-002
2,015073949094949E+003	2,9938946E+000	9,870327543847011E-001	0,000000000000000E+000	2,734294642638043E-002
2,025073948842328E+003	2,9938374E+000	9,868475132596636E-001	0,000000000000000E+000	2,773354889571957E-002
2,035073948589707E+003	2,9942572E+000	9,866622751362460E-001	0,000000000000000E+000	2,812414503579381E-002
2,045073948337085E+003	2,9942956E+000	9,864770382698794E-001	0,000000000000000E+000	2,851473852522962E-002
2,055073948084464E+003	2,9945438E+000	9,862918012499291E-001	0,000000000000000E+000	2,890533233851485E-002
2,065073947831843E+003	2,9945819E+000	9,861065624227453E-001	0,000000000000000E+000	2,929592996256179E-002
2,075073947579222E+003	2,9948683E+000	9,859213248956102E-001	0,000000000000000E+000	2,968652484530501E-002
2,085073947326600E+003	2,9950018E+000	9,857360873793913E-001	0,000000000000000E+000	3,007711970503008E-002
2,095073947073979E+003	2,9951737E+000	9,855508506150203E-001	0,000000000000000E+000	3,046771297939661E-002
2,105073946821358E+003	2,9956510E+000	9,853656150737027E-001	0,000000000000000E+000	3,085830367481254E-002
2,115073946568737E+003	2,9958229E+000	9,851803802686883E-001	0,000000000000000E+000	3,124889281764751E-002
2,125073946316115E+003	2,9964910E+000	9,849951500782553E-001	0,000000000000000E+000	3,163947223010039E-002
2,135073946063494E+003	2,9967582E+000	9,848099216917128E-001	0,000000000000000E+000	3,203004783884064E-002
2,145073945810873E+003	2,9968157E+000	9,846246874106219E-001	0,000000000000000E+000	3,242063587692174E-002
2,155073945558252E+003	2,9970829E+000	9,844394507658175E-001	0,000000000000000E+000	3,281122889916806E-002
2,165073945305630E+003	2,9970639E+000	9,842542177101353E-001	0,000000000000000E+000	3,320181435333235E-002
2,175073945053009E+003	2,9972546E+000	9,840689839925245E-001	0,000000000000000E+000	3,359240120325031E-002
2,185073944800388E+003	2,9972739E+000	9,838837482703339E-001	0,000000000000000E+000	3,398299228005815E-002
2,195073944547767E+003	2,9980185E+000	9,836985124755774E-001	0,000000000000000E+000	3,437358350987940E-002
2,205073944295145E+003	2,9981902E+000	9,835132782736657E-001	0,000000000000000E+000	3,476417138100209E-002
2,215073944042524E+003	2,9984193E+000	9,833280441621693E-001	0,000000000000000E+000	3,515475906147354E-002
2,225073943789903E+003	2,9988203E+000	9,831428101506324E-001	0,000000000000000E+000	3,554534653116888E-002
2,235073943537282E+003	2,9989347E+000	9,829575755307119E-001	0,000000000000000E+000	3,593593528371181E-002
2,245073943284660E+003	2,9989729E+000	9,827723385228380E-001	0,000000000000000E+000	3,632652907153262E-002
2,255073943032039E+003	2,9988966E+000	9,825871019244659E-001	0,000000000000000E+000	3,671712199587086E-002
2,265073942779418E+003	2,9990685E+000	9,824018641589866E-001	0,000000000000000E+000	3,710771738119052E-002
2,275073942526797E+003	2,9989538E+000	9,822166241620138E-001	0,000000000000000E+000	3,749831747187386E-002
2,285073942274175E+003	2,9989920E+000	9,820313870798952E-001	0,000000000000000E+000	3,788891141624792E-002
2,295073942021554E+003	2,9990494E+000	9,818461509229828E-001	0,000000000000000E+000	3,827950340971725E-002
2,305073941768933E+003	2,9992020E+000	9,816609160395403E-001	0,000000000000000E+000	3,867009271792696E-002
2,315073941516312E+003	2,9992402E+000	9,814756817682924E-001	0,000000000000000E+000	3,906068073525323E-002
2,325073941263690E+003	2,9993739E+000	9,812904483082486E-001	0,000000000000000E+000	3,945126704206112E-002
2,335073941011069E+003	2,9993358E+000	9,811052128105492E-001	0,000000000000000E+000	3,984185764550295E-002
2,345073940758448E+003	2,9992402E+000	9,809199759301002E-001	0,000000000000000E+000	4,023245116463347E-002
2,355073940505827E+003	2,9992785E+000	9,807347405952020E-001	0,000000000000000E+000	4,062304142478980E-002
2,365073940253205E+003	2,9996030E+000	9,805495068568042E-001	0,000000000000000E+000	4,101362831853953E-002
2,375073940000584E+003	2,9999084E+000	9,803642703464346E-001	0,000000000000000E+000	4,140422105731445E-002
2,385073939747963E+003	3,0001185E+000	9,801790303881031E-001	0,000000000000000E+000	4,179482106651824E-002
2,395073939495342E+003	3,0000803E+000	9,799937922700331E-001	0,000000000000000E+000	4,218541719531643E-002
2,405073939242720E+003	3,0004621E+000	9,798085562156583E-001	0,000000000000000E+000	4,257600897257323E-002
2,415073938990099E+003	3,0004621E+000	9,796233201367527E-001	0,000000000000000E+000	4,296660080155609E-002
2,425073938737478E+003	3,0005958E+000	9,794380858024700E-001	0,000000000000000E+000	4,335718895179823E-002
2,435073938484857E+003	3,0015695E+000	9,792528499900902E-001	0,000000000000000E+000	4,374778021878049E-002
2,445073938232235E+003	3,0016077E+000	9,790676114049305E-001	0,000000000000000E+000	4,413837733249162E-002
2,455073937979614E+003	3,0015886E+000	9,788823750902739E-001	0,000000000000000E+000	4,452896965858302E-002
2,465073937726993E+003	3,0014930E+000	9,786971396609713E-001	0,000000000000000E+000	4,491956011780230E-002
2,475073937474372E+003	3,0017221E+000	9,785119029318246E-001	0,000000000000000E+000	4,531015331789399E-002
2,485073937221750E+003	3,0016077E+000	9,783266631716173E-001	0,000000000000000E+000	4,570075290932964E-002
