time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
1,648490144076038E+006	3,9092195E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648491144074608E+006	3,9091814E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648492144073177E+006	3,9093723E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648493144071747E+006	3,9093342E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648494144070316E+006	3,9094105E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648495144068886E+006	3,9093914E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648496144067455E+006	3,9093723E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648497144066025E+006	3,9095252E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648498144064594E+006	3,9096205E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648499144063164E+006	3,9095824E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648500143861733E+006	3,9092386E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,648500144261733E+006	3,9126213E+000	2,442277050310131E-001	9,999999889171615E-001	0,000000000000000E+000	2,713636557261149E-008	2,713636557261149E-008	0,000000000000000E+000
1,648510144447427E+006	3,9208486E+000	2,448829501016387E-001	9,997221689620487E-001	0,000000000000000E+000	6,802701848223806E-004	6,802701848223806E-004	0,000000000000000E+000
1,648520144633122E+006	3,9233694E+000	2,448826906152520E-001	9,994443493013233E-001	0,000000000000000E+000	1,360512512470285E-003	1,360512512470285E-003	0,000000000000000E+000
1,648530144818816E+006	3,9256608E+000	2,448846925300104E-001	9,991665273694238E-001	0,000000000000000E+000	2,040760401095781E-003	2,040760401095781E-003	0,000000000000000E+000
1,648540145004511E+006	3,9274940E+000	2,448843541449305E-001	9,988887058214224E-001	0,000000000000000E+000	2,721007349745267E-003	2,721007349745267E-003	0,000000000000000E+000
1,648550145190205E+006	3,9294417E+000	2,448855270644771E-001	9,986108829427426E-001	0,000000000000000E+000	3,401257556565106E-003	3,401257556565106E-003	0,000000000000000E+000
1,648560145375900E+006	3,9309692E+000	2,448846984304627E-001	9,983330610041489E-001	0,000000000000000E+000	4,081505461581051E-003	4,081505461581051E-003	0,000000000000000E+000
1,648570145561595E+006	3,9326499E+000	2,448830273275587E-001	9,980552409614232E-001	0,000000000000000E+000	4,761748724558287E-003	4,761748724558287E-003	0,000000000000000E+000
1,648580145747289E+006	3,9342346E+000	2,448827175784025E-001	9,977774212701082E-001	0,000000000000000E+000	5,441991127105222E-003	5,441991127105222E-003	0,000000000000000E+000
1,648590145932984E+006	3,9357815E+000	2,448828481104487E-001	9,974996014307045E-001	0,000000000000000E+000	6,122233892247908E-003	6,122233892247908E-003	0,000000000000000E+000
1,648600146118678E+006	3,9370990E+000	2,448815981908794E-001	9,972217830093357E-001	0,000000000000000E+000	6,802473185327318E-003	6,802473185327318E-003	0,000000000000000E+000
1,648610146304373E+006	3,9384930E+000	2,448830719697146E-001	9,969439629159634E-001	0,000000000000000E+000	7,482716572312845E-003	7,482716572312845E-003	0,000000000000000E+000
1,648620146490064E+006	3,9399061E+000	2,448824761143683E-001	9,966661434986931E-001	0,000000000000000E+000	8,162958303860492E-003	8,162958303860492E-003	0,000000000000000E+000
1,648630146675758E+006	3,9411473E+000	2,448820072243310E-001	9,963883246132755E-001	0,000000000000000E+000	8,843198733165032E-003	8,843198733165032E-003	0,000000000000000E+000
1,648640146861453E+006	3,9424267E+000	2,448815237693059E-001	9,961105062763382E-001	0,000000000000000E+000	9,523437819514010E-003	9,523437819514010E-003	0,000000000000000E+000
1,648650147047147E+006	3,9437633E+000	2,448815470611765E-001	9,958326879129762E-001	0,000000000000000E+000	1,020367697056383E-002	1,020367697056383E-002	0,000000000000000E+000
1,648660147232842E+006	3,9449282E+000	2,448836530750041E-001	9,955548671603394E-001	0,000000000000000E+000	1,088392197176069E-002	1,088392197176069E-002	0,000000000000000E+000
1,648670147418536E+006	3,9460356E+000	2,448828495847422E-001	9,952770473192630E-001	0,000000000000000E+000	1,156416474099871E-002	1,156416474099871E-002	0,000000000000000E+000
1,648680147604231E+006	3,9472959E+000	2,448823977505860E-001	9,949992279907930E-001	0,000000000000000E+000	1,224440625511855E-002	1,224440625511855E-002	0,000000000000000E+000
1,648690147789925E+006	3,9482889E+000	2,448827312904944E-001	9,947214082839216E-001	0,000000000000000E+000	1,292464869575534E-002	1,292464869575534E-002	0,000000000000000E+000
1,648700147975620E+006	3,9494729E+000	2,448841028284007E-001	9,944435870210391E-001	0,000000000000000E+000	1,360489494629039E-002	1,360489494629039E-002	0,000000000000000E+000
1,648710148161314E+006	3,9505422E+000	2,448845999037283E-001	9,941657651942242E-001	0,000000000000000E+000	1,428514257761588E-002	1,428514257761588E-002	0,000000000000000E+000
1,648720148347009E+006	3,9516690E+000	2,448858911070920E-001	9,938879419025376E-001	0,000000000000000E+000	1,496539379568398E-002	1,496539379568398E-002	0,000000000000000E+000
1,648730148532704E+006	3,9527192E+000	2,448845206927124E-001	9,936101201655876E-001	0,000000000000000E+000	1,564564120697479E-002	1,564564120697479E-002	0,000000000000000E+000
1,648740148718398E+006	3,9538839E+000	2,448841272947590E-001	9,933322988749480E-001	0,000000000000000E+000	1,632588752547321E-002	1,632588752547321E-002	0,000000000000000E+000
1,648750148904093E+006	3,9546287E+000	2,448861167502919E-001	9,930544753272690E-001	0,000000000000000E+000	1,700613937033962E-002	1,700613937033962E-002	0,000000000000000E+000
1,648760149089783E+006	3,9557936E+000	2,448839837664907E-001	9,927766541995658E-001	0,000000000000000E+000	1,768638528988759E-002	1,768638528988759E-002	0,000000000000000E+000
1,648770149275478E+006	3,9568248E+000	2,448828173699240E-001	9,924988343950373E-001	0,000000000000000E+000	1,836662796963835E-002	1,836662796963835E-002	0,000000000000000E+000
1,648780149461173E+006	3,9577413E+000	2,448842930313368E-001	9,922210129163693E-001	0,000000000000000E+000	1,904687474852470E-002	1,904687474852470E-002	0,000000000000000E+000
1,648790149646867E+006	3,9586961E+000	2,448829431956748E-001	9,919431929690913E-001	0,000000000000000E+000	1,972711777779792E-002	1,972711777779792E-002	0,000000000000000E+000
1,648800149832562E+006	3,9596126E+000	2,448826121623932E-001	9,916653733973709E-001	0,000000000000000E+000	2,040735988751716E-002	2,040735988751716E-002	0,000000000000000E+000
1,648810150018256E+006	3,9606247E+000	2,448832960581561E-001	9,913875530497700E-001	0,000000000000000E+000	2,108760389698214E-002	2,108760389698214E-002	0,000000000000000E+000
1,648820150203951E+006	3,9615796E+000	2,448828917128208E-001	9,911097331608993E-001	0,000000000000000E+000	2,176784678324478E-002	2,176784678324478E-002	0,000000000000000E+000
1,648830150389645E+006	3,9623051E+000	2,448824177782689E-001	9,908319138097079E-001	0,000000000000000E+000	2,244808835299810E-002	2,244808835299810E-002	0,000000000000000E+000
1,648840150575340E+006	3,9632790E+000	2,448817050188966E-001	9,905540952671427E-001	0,000000000000000E+000	2,312832794282751E-002	2,312832794282751E-002	0,000000000000000E+000
1,648850150761034E+006	3,9641001E+000	2,448815478533075E-001	9,902762769028820E-001	0,000000000000000E+000	2,380856709607774E-002	2,380856709607774E-002	0,000000000000000E+000
1,648860150946729E+006	3,9650166E+000	2,448838666821634E-001	9,899984559079077E-001	0,000000000000000E+000	2,448881269063884E-002	2,448881269063884E-002	0,000000000000000E+000
1,648870151132423E+006	3,9658949E+000	2,448847954060150E-001	9,897206338592951E-001	0,000000000000000E+000	2,516906086503632E-002	2,516906086503632E-002	0,000000000000000E+000
1,648880151318118E+006	3,9667926E+000	2,448829071909656E-001	9,894428139528645E-001	0,000000000000000E+000	2,584930379429460E-002	2,584930379429460E-002	0,000000000000000E+000
1,648890151503813E+006	3,9676900E+000	2,448844477555650E-001	9,891649922986617E-001	0,000000000000000E+000	2,652955100297845E-002	2,652955100297845E-002	0,000000000000000E+000
1,648900151689503E+006	3,9685302E+000	2,448840501964219E-001	9,888871710955938E-001	0,000000000000000E+000	2,720979710705744E-002	2,720979710705744E-002	0,000000000000000E+000
1,648910151875198E+006	3,9694085E+000	2,448835906715899E-001	9,886093504137536E-001	0,000000000000000E+000	2,789004193490826E-002	2,789004193490826E-002	0,000000000000000E+000
1,648920152060892E+006	3,9702106E+000	2,448835208707806E-001	9,883315298111026E-001	0,000000000000000E+000	2,857028656886435E-002	2,857028656886435E-002	0,000000000000000E+000
1,648930152246587E+006	3,9709554E+000	2,448843524387792E-001	9,880537082650369E-001	0,000000000000000E+000	2,925053351277444E-002	2,925053351277444E-002	0,000000000000000E+000
1,648940152432282E+006	3,9717956E+000	2,448837474116097E-001	9,877758874053750E-001	0,000000000000000E+000	2,993077877602229E-002	2,993077877602229E-002	0,000000000000000E+000
1,648950152617976E+006	3,9727120E+000	2,448830703207827E-001	9,874980673138735E-001	0,000000000000000E+000	3,061102215842737E-002	3,061102215842737E-002	0,000000000000000E+000
1,648960152803671E+006	3,9734187E+000	2,448846358533042E-001	9,872202454462736E-001	0,000000000000000E+000	3,129126988961465E-002	3,129126988961465E-002	0,000000000000000E+000
1,648970152989365E+006	3,9742398E+000	2,448857051005430E-001	9,869424223656118E-001	0,000000000000000E+000	3,197152059098830E-002	3,197152059098830E-002	0,000000000000000E+000
1,648980153175060E+006	3,9751372E+000	2,448854251516657E-001	9,866645996025522E-001	0,000000000000000E+000	3,265177051471174E-002	3,265177051471174E-002	0,000000000000000E+000
1,648990153360754E+006	3,9759202E+000	2,448836365967119E-001	9,863867788686100E-001	0,000000000000000E+000	3,333201547013472E-002	3,333201547013472E-002	0,000000000000000E+000
1,649000153546449E+006	3,9765694E+000	2,448834848779922E-001	9,861089583067928E-001	0,000000000000000E+000	3,401226000410898E-002	3,401226000410898E-002	0,000000000000000E+000
1,649010153732143E+006	3,9773142E+000	2,448845073549308E-001	9,858311365849746E-001	0,000000000000000E+000	3,469250737834970E-002	3,469250737834970E-002	0,000000000000000E+000
1,649020153917838E+006	3,9781163E+000	2,448833191423084E-001	9,855533162111847E-001	0,000000000000000E+000	3,537275145193852E-002	3,537275145193852E-002	0,000000000000000E+000
