time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
3,074089266911577E+005	3,9971735E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074099266904127E+005	3,9971354E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074109266896676E+005	3,9971735E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074119266889226E+005	3,9972117E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074129266881775E+005	3,9971926E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074139266874325E+005	3,9973645E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074149266866874E+005	3,9972689E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074159266859423E+005	3,9973264E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074169266851973E+005	3,9974217E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074179266844522E+005	3,9973836E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074189264837075E+005	3,9969444E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,074189268837068E+005	4,0090976E+000	1,221149611637827E+000	9,999999445853043E-001	0,000000000000000E+000	1,356830596923828E-007	1,356830596923828E-007	0,000000000000000E+000
3,074289270762559E+005	4,0375795E+000	1,224653016823351E+000	9,986105735440333E-001	0,000000000000000E+000	3,402015120294359E-003	3,402015120294359E-003	0,000000000000000E+000
3,074389272688050E+005	4,0441294E+000	1,224652243718311E+000	9,972212033798512E-001	0,000000000000000E+000	6,803892409973674E-003	6,803892409973674E-003	0,000000000000000E+000
3,074489274613541E+005	4,0496292E+000	1,224650773464543E+000	9,958318348836748E-001	0,000000000000000E+000	1,020576561553611E-002	1,020576561553611E-002	0,000000000000000E+000
3,074589276539031E+005	4,0546322E+000	1,224648876344833E+000	9,944424685397840E-001	0,000000000000000E+000	1,360763355122010E-002	1,360763355122010E-002	0,000000000000000E+000
3,074689278464522E+005	4,0593295E+000	1,224652205064251E+000	9,930530984194551E-001	0,000000000000000E+000	1,700951073352496E-002	1,700951073352496E-002	0,000000000000000E+000
3,074789280390013E+005	4,0638552E+000	1,224651854524164E+000	9,916637286968145E-001	0,000000000000000E+000	2,041138694208861E-002	2,041138694208861E-002	0,000000000000000E+000
3,074889282315504E+005	4,0682855E+000	1,224652405813597E+000	9,902743583487351E-001	0,000000000000000E+000	2,381326468204127E-002	2,381326468204127E-002	0,000000000000000E+000
3,074989284240995E+005	4,0725818E+000	1,224652723092549E+000	9,888849876407022E-001	0,000000000000000E+000	2,721514330334134E-002	2,721514330334134E-002	0,000000000000000E+000
3,075089286166485E+005	4,0771456E+000	1,224652594086740E+000	9,874956170790266E-001	0,000000000000000E+000	3,061702156628503E-002	3,061702156628503E-002	0,000000000000000E+000
3,075189288091976E+005	4,0814037E+000	1,224651299575075E+000	9,861062479859768E-001	0,000000000000000E+000	3,401889623329375E-002	3,401889623329375E-002	0,000000000000000E+000
3,075289290017467E+005	4,0857959E+000	1,224649232008437E+000	9,847168812385850E-001	0,000000000000000E+000	3,742076515695122E-002	3,742076515695122E-002	0,000000000000000E+000
3,075389291942958E+005	4,0902834E+000	1,224650615081362E+000	9,833275129220945E-001	0,000000000000000E+000	4,082263792255190E-002	4,082263792255190E-002	0,000000000000000E+000
3,075489293868449E+005	4,0948472E+000	1,224652281814482E+000	9,819381427146924E-001	0,000000000000000E+000	4,422451531805595E-002	4,422451531805595E-002	0,000000000000000E+000
3,075589295793939E+005	4,0993729E+000	1,224652592832682E+000	9,805487721544395E-001	0,000000000000000E+000	4,762639357751608E-002	4,762639357751608E-002	0,000000000000000E+000
3,075689297719435E+005	4,1042614E+000	1,224651762994842E+000	9,791594025355744E-001	0,000000000000000E+000	5,102826953198512E-002	5,102826953198512E-002	0,000000000000000E+000
3,075789299644930E+005	4,1091499E+000	1,224651866025448E+000	9,777700327998209E-001	0,000000000000000E+000	5,443014577265581E-002	5,443014577265581E-002	0,000000000000000E+000
3,075889301570426E+005	4,1139998E+000	1,224652035749982E+000	9,763806628715146E-001	0,000000000000000E+000	5,783202248479261E-002	5,783202248479261E-002	0,000000000000000E+000
3,075989303495921E+005	4,1192894E+000	1,224652275902008E+000	9,749912926707555E-001	0,000000000000000E+000	6,123389986403121E-002	6,123389986403121E-002	0,000000000000000E+000
3,076089305421417E+005	4,1246552E+000	1,224653463566060E+000	9,736019211225894E-001	0,000000000000000E+000	6,463578054240014E-002	6,463578054240014E-002	0,000000000000000E+000
3,076189307346912E+005	4,1303458E+000	1,224653516291313E+000	9,722125495146062E-001	0,000000000000000E+000	6,803766136723094E-002	6,803766136723094E-002	0,000000000000000E+000
3,076289309272408E+005	4,1361508E+000	1,224654244262202E+000	9,708231770807390E-001	0,000000000000000E+000	7,143954421424203E-002	7,143954421424203E-002	0,000000000000000E+000
3,076389311197903E+005	4,1421852E+000	1,224654007729300E+000	9,694338049152186E-001	0,000000000000000E+000	7,484142640420463E-002	7,484142640420463E-002	0,000000000000000E+000
3,076489313123398E+005	4,1486964E+000	1,224653456349269E+000	9,680444333752399E-001	0,000000000000000E+000	7,824330706252654E-002	7,824330706252654E-002	0,000000000000000E+000
3,076589315048894E+005	4,1554756E+000	1,224655074264740E+000	9,666550599997332E-001	0,000000000000000E+000	8,164519221514463E-002	8,164519221514463E-002	0,000000000000000E+000
3,076689316974389E+005	4,1625791E+000	1,224653939812307E+000	9,652656879112649E-001	0,000000000000000E+000	8,504707421644528E-002	8,504707421644528E-002	0,000000000000000E+000
3,076789318899885E+005	4,1701407E+000	1,224655565473849E+000	9,638763139784805E-001	0,000000000000000E+000	8,844896073355939E-002	8,844896073355939E-002	0,000000000000000E+000
3,076889320825376E+005	4,1782947E+000	1,224655225662198E+000	9,624869404312778E-001	0,000000000000000E+000	9,185084630657565E-002	9,185084630657565E-002	0,000000000000000E+000
3,076989322750871E+005	4,1868877E+000	1,224653390239454E+000	9,610975689663008E-001	0,000000000000000E+000	9,525272678125565E-002	9,525272678125565E-002	0,000000000000000E+000
3,077089324676367E+005	4,1961679E+000	1,224654068844341E+000	9,597081967314454E-001	0,000000000000000E+000	9,865460914098553E-002	9,865460914098553E-002	0,000000000000000E+000
3,077189326601862E+005	4,2060976E+000	1,224654501203341E+000	9,583188240060778E-001	0,000000000000000E+000	1,020564927017358E-001	1,020564927017358E-001	0,000000000000000E+000
3,077289328527357E+005	4,2168293E+000	1,224654746388287E+000	9,569294510025476E-001	0,000000000000000E+000	1,054583769435684E-001	1,054583769435684E-001	0,000000000000000E+000
3,077389330452853E+005	4,2285347E+000	1,224655126513166E+000	9,555400775677649E-001	0,000000000000000E+000	1,088602622413238E-001	1,088602622413238E-001	0,000000000000000E+000
