time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
6,666953614226822E+004	3,9160557E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667053614202980E+004	3,9161129E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667153614179138E+004	3,9160175E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667253614155296E+004	3,9160938E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667353614131454E+004	3,9161129E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667453614107613E+004	3,9161704E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667553614083771E+004	3,9161894E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667653614059975E+004	3,9162467E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667753614036506E+004	3,9161704E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667853614013037E+004	3,9161513E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667953593989578E+004	3,9158075E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,667953633989557E+004	3,9228864E+000	2,442019546142984E-001	9,999999889183171E-001	0,000000000000000E+000	2,713353600766924E-008	2,713353600766924E-008	0,000000000000000E+000
6,668953653754853E+004	3,9355905E+000	2,448906731561753E-001	9,997221598691581E-001	0,000000000000000E+000	6,802924487938483E-004	6,802924487938483E-004	0,000000000000000E+000
6,669953673520149E+004	3,9378438E+000	2,448889507864537E-001	9,994443327740317E-001	0,000000000000000E+000	1,360552979596787E-003	1,360552979596787E-003	0,000000000000000E+000
6,670953693283070E+004	3,9396386E+000	2,448872505658111E-001	9,991665076084694E-001	0,000000000000000E+000	2,040808785855770E-003	2,040808785855770E-003	0,000000000000000E+000
6,671953713044652E+004	3,9411089E+000	2,448875206437462E-001	9,988886821368750E-001	0,000000000000000E+000	2,721065341435373E-003	2,721065341435373E-003	0,000000000000000E+000
6,672953732806328E+004	3,9426558E+000	2,448884126771213E-001	9,986108556532407E-001	0,000000000000000E+000	3,401324374997781E-003	3,401324374997781E-003	0,000000000000000E+000
6,673953752571635E+004	3,9439352E+000	2,448874949844257E-001	9,983330302097219E-001	0,000000000000000E+000	4,081580861834189E-003	4,081580861834189E-003	0,000000000000000E+000
6,674953772336943E+004	3,9451382E+000	2,448865418236674E-001	9,980552058475661E-001	0,000000000000000E+000	4,761834700949491E-003	4,761834700949491E-003	0,000000000000000E+000
6,675953792100900E+004	3,9462841E+000	2,448866330964356E-001	9,977773813822365E-001	0,000000000000000E+000	5,442088792686661E-003	5,442088792686661E-003	0,000000000000000E+000
6,676953811862483E+004	3,9475634E+000	2,448864358710789E-001	9,974995571413192E-001	0,000000000000000E+000	6,122342334949308E-003	6,122342334949308E-003	0,000000000000000E+000
6,677953831624065E+004	3,9485946E+000	2,448869699187385E-001	9,972217322945236E-001	0,000000000000000E+000	6,802597360706992E-003	6,802597360706992E-003	0,000000000000000E+000
6,678953851388395E+004	3,9497402E+000	2,448862491728909E-001	9,969439082646526E-001	0,000000000000000E+000	7,482850386222204E-003	7,482850386222204E-003	0,000000000000000E+000
6,679953871153702E+004	3,9507332E+000	2,448856127614847E-001	9,966660849565202E-001	0,000000000000000E+000	8,163101644558211E-003	8,163101644558211E-003	0,000000000000000E+000
6,680953890918718E+004	3,9516881E+000	2,448862083659167E-001	9,963882609727543E-001	0,000000000000000E+000	8,843354557184709E-003	8,843354557184709E-003	0,000000000000000E+000
6,681953910680299E+004	3,9527764E+000	2,448870449866813E-001	9,961104360407944E-001	0,000000000000000E+000	9,523609791467587E-003	9,523609791467587E-003	0,000000000000000E+000
6,682953930441879E+004	3,9537504E+000	2,448869690137182E-001	9,958326111950260E-001	0,000000000000000E+000	1,020386481471029E-002	1,020386481471029E-002	0,000000000000000E+000
6,683953950205183E+004	3,9547241E+000	2,448898550619338E-001	9,955547830745503E-001	0,000000000000000E+000	1,088412785608404E-002	1,088412785608404E-002	0,000000000000000E+000
6,684953969970491E+004	3,9556408E+000	2,448894371413347E-001	9,952769554276498E-001	0,000000000000000E+000	1,156438973790738E-002	1,156438973790738E-002	0,000000000000000E+000
6,685953989735799E+004	3,9566529E+000	2,448887805689167E-001	9,949991285256324E-001	0,000000000000000E+000	1,224464979588240E-002	1,224464979588240E-002	0,000000000000000E+000
6,686954009498120E+004	3,9574931E+000	2,448892512421977E-001	9,947213010904645E-001	0,000000000000000E+000	1,292491115927779E-002	1,292491115927779E-002	0,000000000000000E+000
6,687954029259703E+004	3,9583142E+000	2,448901589909112E-001	9,944434726256590E-001	0,000000000000000E+000	1,360517504374435E-002	1,360517504374435E-002	0,000000000000000E+000
6,688954049021937E+004	3,9592116E+000	2,448889002116757E-001	9,941656455887604E-001	0,000000000000000E+000	1,428543543197629E-002	1,428543543197629E-002	0,000000000000000E+000
6,689954068787245E+004	3,9600899E+000	2,448879757751938E-001	9,938878195997833E-001	0,000000000000000E+000	1,496569325436900E-002	1,496569325436900E-002	0,000000000000000E+000
6,690954088552552E+004	3,9608729E+000	2,448876586796847E-001	9,936099939705518E-001	0,000000000000000E+000	1,564595019592345E-002	1,564595019592345E-002	0,000000000000000E+000
6,691954108315939E+004	3,9618468E+000	2,448870070419490E-001	9,933321690811385E-001	0,000000000000000E+000	1,632620532603065E-002	1,632620532603065E-002	0,000000000000000E+000
6,692954128077510E+004	3,9625914E+000	2,448881776323675E-001	9,930543428641923E-001	0,000000000000000E+000	1,700646370660679E-002	1,700646370660679E-002	0,000000000000000E+000
6,693954147839081E+004	3,9635081E+000	2,448893560736711E-001	9,927765153103014E-001	0,000000000000000E+000	1,768672536069569E-002	1,768672536069569E-002	0,000000000000000E+000
6,694954167603957E+004	3,9641764E+000	2,448887528020281E-001	9,924986884399052E-001	0,000000000000000E+000	1,836698534124593E-002	1,836698534124593E-002	0,000000000000000E+000
6,695954187369253E+004	3,9650357E+000	2,448882136221023E-001	9,922208621810935E-001	0,000000000000000E+000	1,904724382432964E-002	1,904724382432964E-002	0,000000000000000E+000
6,696954207133711E+004	3,9658949E+000	2,448882375084145E-001	9,919430358954155E-001	0,000000000000000E+000	1,972750237319536E-002	1,972750237319536E-002	0,000000000000000E+000
6,697954226895282E+004	3,9665444E+000	2,448860546456851E-001	9,916652120870026E-001	0,000000000000000E+000	2,040775485646973E-002	2,040775485646973E-002	0,000000000000000E+000
6,698954246656853E+004	3,9673846E+000	2,448864095363497E-001	9,913873878759654E-001	0,000000000000000E+000	2,108800832557099E-002	2,108800832557099E-002	0,000000000000000E+000
6,699954266420659E+004	3,9681866E+000	2,448873828703057E-001	9,911095625600576E-001	0,000000000000000E+000	2,176826449995157E-002	2,176826449995157E-002	0,000000000000000E+000
6,700954286185955E+004	3,9687974E+000	2,448872728490304E-001	9,908317373685550E-001	0,000000000000000E+000	2,244852036972510E-002	2,244852036972510E-002	0,000000000000000E+000
6,701954305951251E+004	3,9696760E+000	2,448879305178542E-001	9,905539114309257E-001	0,000000000000000E+000	2,312877806639258E-002	2,312877806639258E-002	0,000000000000000E+000
6,702954325713008E+004	3,9703825E+000	2,448871156532418E-001	9,902760864187455E-001	0,000000000000000E+000	2,380903349709511E-002	2,380903349709511E-002	0,000000000000000E+000
6,703954345474578E+004	3,9710891E+000	2,448885474042297E-001	9,899982597822922E-001	0,000000000000000E+000	2,448929290483561E-002	2,448929290483561E-002	0,000000000000000E+000
6,704954365237313E+004	3,9718337E+000	2,448891740024844E-001	9,897204324346381E-001	0,000000000000000E+000	2,516955405395313E-002	2,516955405395313E-002	0,000000000000000E+000
6,705954385002609E+004	3,9726739E+000	2,448886394209238E-001	9,894426056927565E-001	0,000000000000000E+000	2,584981371983472E-002	2,584981371983472E-002	0,000000000000000E+000
