time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
3,477429972399059E+005	4,1969509E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477439972391608E+005	4,1970272E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477449972384158E+005	4,1970272E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477459972376707E+005	4,1971803E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477469972369256E+005	4,1972947E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477479972361806E+005	4,1971612E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477489972354355E+005	4,1973901E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477499972346905E+005	4,1973901E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477509972339454E+005	4,1974854E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477519972332004E+005	4,1975622E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477529970324573E+005	4,1970844E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,477529974324571E+005	4,2002058E+000	2,442783678097493E-001	9,999999889148495E-001	0,000000000000000E+000	2,714202635818057E-008	2,714202635818057E-008	0,000000000000000E+000
3,477629976250064E+005	4,2359438E+000	2,448987883926251E-001	9,997221508007317E-001	0,000000000000000E+000	6,803146528651318E-004	6,803146528651318E-004	0,000000000000000E+000
3,477729978175557E+005	4,2431812E+000	2,448959213177893E-001	9,994443159393153E-001	0,000000000000000E+000	1,360594199453791E-003	1,360594199453791E-003	0,000000000000000E+000
3,477829980101050E+005	4,2491198E+000	2,448960748334505E-001	9,991664809037351E-001	0,000000000000000E+000	2,040874172483054E-003	2,040874172483054E-003	0,000000000000000E+000
3,477929982026544E+005	4,2547150E+000	2,448950038368172E-001	9,988886470831994E-001	0,000000000000000E+000	2,721151170472304E-003	2,721151170472304E-003	0,000000000000000E+000
3,478029983952038E+005	4,2599087E+000	2,448925215880864E-001	9,986108160787791E-001	0,000000000000000E+000	3,401421273193426E-003	3,401421273193426E-003	0,000000000000000E+000
3,478129985877533E+005	4,2649312E+000	2,448913788340776E-001	9,983329863708155E-001	0,000000000000000E+000	4,081688201536735E-003	4,081688201536735E-003	0,000000000000000E+000
3,478229987803022E+005	4,2698770E+000	2,448904278290680E-001	9,980551577417816E-001	0,000000000000000E+000	4,761952488116920E-003	4,761952488116920E-003	0,000000000000000E+000
3,478329989728517E+005	4,2748609E+000	2,448906752469801E-001	9,977773288320387E-001	0,000000000000000E+000	5,442217462013993E-003	5,442217462013993E-003	0,000000000000000E+000
3,478429991654011E+005	4,2796345E+000	2,448916050332234E-001	9,974994988674517E-001	0,000000000000000E+000	6,122485018700361E-003	6,122485018700361E-003	0,000000000000000E+000
3,478529993579505E+005	4,2844849E+000	2,448911269401622E-001	9,972216694452620E-001	0,000000000000000E+000	6,802751247324877E-003	6,802751247324877E-003	0,000000000000000E+000
3,478629995505000E+005	4,2892971E+000	2,448904107874554E-001	9,969438408355490E-001	0,000000000000000E+000	7,483015486598014E-003	7,483015486598014E-003	0,000000000000000E+000
3,478729997430494E+005	4,2940516E+000	2,448925250787652E-001	9,966660098271687E-001	0,000000000000000E+000	8,163285599015652E-003	8,163285599015652E-003	0,000000000000000E+000
3,478829999355988E+005	4,2989402E+000	2,448914474099871E-001	9,963881800414055E-001	0,000000000000000E+000	8,843552717851267E-003	8,843552717851267E-003	0,000000000000000E+000
3,478930001281482E+005	4,3034086E+000	2,448927627012192E-001	9,961103487634421E-001	0,000000000000000E+000	9,523823490343987E-003	9,523823490343987E-003	0,000000000000000E+000
3,479030003206977E+005	4,3081250E+000	2,448925392384700E-001	9,958325177389975E-001	0,000000000000000E+000	1,020409364209490E-002	1,020409364209490E-002	0,000000000000000E+000
3,479130005132470E+005	4,3127651E+000	2,448927442795016E-001	9,955546864819351E-001	0,000000000000000E+000	1,088436436341123E-002	1,088436436341123E-002	0,000000000000000E+000
3,479230007057965E+005	4,3174057E+000	2,448907817256475E-001	9,952768574513919E-001	0,000000000000000E+000	1,156462963308808E-002	1,156462963308808E-002	0,000000000000000E+000
3,479330008983459E+005	4,3219886E+000	2,448907792589567E-001	9,949990284236473E-001	0,000000000000000E+000	1,224489489591287E-002	1,224489489591287E-002	0,000000000000000E+000
3,479430010908955E+005	4,3264756E+000	2,448910359818434E-001	9,947211991046453E-001	0,000000000000000E+000	1,292516087188240E-002	1,292516087188240E-002	0,000000000000000E+000
3,479530012834449E+005	4,3308487E+000	2,448908588948912E-001	9,944433699865535E-001	0,000000000000000E+000	1,360542635592239E-002	1,360542635592239E-002	0,000000000000000E+000
3,479630014759944E+005	4,3351450E+000	2,448904919456632E-001	9,941655412847663E-001	0,000000000000000E+000	1,428569082063933E-002	1,428569082063933E-002	0,000000000000000E+000
3,479730016685438E+005	4,3395753E+000	2,448900087237211E-001	9,938877131311953E-001	0,000000000000000E+000	1,496595394304726E-002	1,496595394304726E-002	0,000000000000000E+000
3,479830018610932E+005	4,3436618E+000	2,448900320796495E-001	9,936098849511269E-001	0,000000000000000E+000	1,564621713033401E-002	1,564621713033401E-002	0,000000000000000E+000
