time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
5,504036299087456E+004	3,8706465E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504136299087643E+004	3,8705893E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504236299087829E+004	3,8708184E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504336299088015E+004	3,8706658E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504436299088201E+004	3,8706658E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504536299088388E+004	3,8707039E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504636299088574E+004	3,8707421E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504736299088760E+004	3,8707230E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504836299088947E+004	3,8707802E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,504936299089133E+004	3,8707421E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,505036279089318E+004	3,8703029E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,505036319089319E+004	3,8989077E+000	1,221039222016785E+000	9,999999445902189E-001	0,000000000000000E+000	1,356710261768765E-007	1,356710261768765E-007	0,000000000000000E+000
5,506036319091181E+004	3,9635081E+000	1,224659323444927E+000	9,986105931433207E-001	0,000000000000000E+000	3,401967131376267E-003	3,401967131376267E-003	0,000000000000000E+000
5,507036319093044E+004	3,9737051E+000	1,224658837383354E+000	9,972212422478496E-001	0,000000000000000E+000	6,803797241555320E-003	6,803797241555320E-003	0,000000000000000E+000
5,508036319094907E+004	3,9805603E+000	1,224658117127981E+000	9,958318921694937E-001	0,000000000000000E+000	1,020562535102500E-002	1,020562535102500E-002	0,000000000000000E+000
5,509036319096769E+004	3,9855251E+000	1,224656858811943E+000	9,944425435186722E-001	0,000000000000000E+000	1,360744996517234E-002	1,360744996517234E-002	0,000000000000000E+000
5,510036319098632E+004	3,9894588E+000	1,224659253254497E+000	9,930531921514036E-001	0,000000000000000E+000	1,700928123054902E-002	1,700928123054902E-002	0,000000000000000E+000
5,511036319100494E+004	3,9926860E+000	1,224659225557411E+000	9,916638408155569E-001	0,000000000000000E+000	2,041111241898934E-002	2,041111241898934E-002	0,000000000000000E+000
5,512036319102357E+004	3,9957604E+000	1,224657696390715E+000	9,902744912145190E-001	0,000000000000000E+000	2,381293935974439E-002	2,381293935974439E-002	0,000000000000000E+000
5,513036319104220E+004	3,9986248E+000	1,224657728024092E+000	9,888851415775938E-001	0,000000000000000E+000	2,721476638836993E-002	2,721476638836993E-002	0,000000000000000E+000
5,514036319106082E+004	4,0013175E+000	1,224656320303052E+000	9,874957935376998E-001	0,000000000000000E+000	3,061658950665925E-002	3,061658950665925E-002	0,000000000000000E+000
5,515036319107945E+004	4,0041051E+000	1,224656529386609E+000	9,861064452606048E-001	0,000000000000000E+000	3,401841320573622E-002	3,401841320573622E-002	0,000000000000000E+000
5,516036319109808E+004	4,0064921E+000	1,224656694539158E+000	9,847170967961474E-001	0,000000000000000E+000	3,742023736357027E-002	3,742023736357027E-002	0,000000000000000E+000
5,517036319111670E+004	4,0090890E+000	1,224658934577072E+000	9,833277457904120E-001	0,000000000000000E+000	4,082206774373188E-002	4,082206774373188E-002	0,000000000000000E+000
5,518036319113533E+004	4,0116100E+000	1,224657221155731E+000	9,819383967285188E-001	0,000000000000000E+000	4,422389336438975E-002	4,422389336438975E-002	0,000000000000000E+000
5,519036319115396E+004	4,0142832E+000	1,224658063753214E+000	9,805490467107155E-001	0,000000000000000E+000	4,762572132559618E-002	4,762572132559618E-002	0,000000000000000E+000
5,520036319117258E+004	4,0168419E+000	1,224659149213398E+000	9,791596954614795E-001	0,000000000000000E+000	5,102755230196981E-002	5,102755230196981E-002	0,000000000000000E+000
5,521036319119121E+004	4,0193052E+000	1,224659398284518E+000	9,777703439296772E-001	0,000000000000000E+000	5,442938397020766E-002	5,442938397020766E-002	0,000000000000000E+000
5,522036319120984E+004	4,0219216E+000	1,224658739839161E+000	9,763809931448680E-001	0,000000000000000E+000	5,783121380943062E-002	5,783121380943062E-002	0,000000000000000E+000
5,523036319122846E+004	4,0243082E+000	1,224659046888912E+000	9,749916420117172E-001	0,000000000000000E+000	6,123304450156956E-002	6,123304450156956E-002	0,000000000000000E+000
5,524036319124709E+004	4,0266190E+000	1,224659545469844E+000	9,736022903129361E-001	0,000000000000000E+000	6,463487657865553E-002	6,463487657865553E-002	0,000000000000000E+000
5,525036319126571E+004	4,0292349E+000	1,224659481678569E+000	9,722129386865250E-001	0,000000000000000E+000	6,803670847854353E-002	6,803670847854353E-002	0,000000000000000E+000
5,526036319128434E+004	4,0316792E+000	1,224659143448436E+000	9,708235874438292E-001	0,000000000000000E+000	7,143853943890337E-002	7,143853943890337E-002	0,000000000000000E+000
5,527036319130297E+004	4,0343528E+000	1,224659499066436E+000	9,694342357976919E-001	0,000000000000000E+000	7,484037138709099E-002	7,484037138709099E-002	0,000000000000000E+000
5,528036319132159E+004	4,0368543E+000	1,224658292224969E+000	9,680448855206920E-001	0,000000000000000E+000	7,824219998294119E-002	7,824219998294119E-002	0,000000000000000E+000
5,529036319134022E+004	4,0393748E+000	1,224657963102426E+000	9,666555356170752E-001	0,000000000000000E+000	8,164402766456211E-002	8,164402766456211E-002	0,000000000000000E+000
5,530036319135885E+004	4,0418763E+000	1,224658818641270E+000	9,652661847428665E-001	0,000000000000000E+000	8,504585772267982E-002	8,504585772267982E-002	0,000000000000000E+000
5,531036319137747E+004	4,0445876E+000	1,224660972257217E+000	9,638768314254239E-001	0,000000000000000E+000	8,844769376306406E-002	8,844769376306406E-002	0,000000000000000E+000
