time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
2,049613138692963E+005	3,7854996E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049623138694528E+005	3,7855380E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049633138696093E+005	3,7854424E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049643138697657E+005	3,7856524E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049653138699222E+005	3,7856333E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049663138700787E+005	3,7858052E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049673138702351E+005	3,7855952E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049683138703916E+005	3,7857862E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049693138705480E+005	3,7857671E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049703138707045E+005	3,7857287E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049713136708610E+005	3,7853661E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,049713140708610E+005	3,7980206E+000	1,221179308108851E+000	9,999999445838599E-001	0,000000000000000E+000	1,356865962346395E-007	1,356865962346395E-007	0,000000000000000E+000
2,049813140724256E+005	3,9025934E+000	1,224657754478061E+000	9,986105947021303E-001	0,000000000000000E+000	3,401963314625952E-003	3,401963314625952E-003	0,000000000000000E+000
2,049913140739902E+005	3,9192064E+000	1,224656421189123E+000	9,972212463329905E-001	0,000000000000000E+000	6,803787239074707E-003	6,803787239074707E-003	0,000000000000000E+000
2,050013140755548E+005	3,9305875E+000	1,224657597498525E+000	9,958318966293511E-001	0,000000000000000E+000	1,020561443105009E-002	1,020561443105009E-002	0,000000000000000E+000
2,050113140771195E+005	3,9394860E+000	1,224656179284902E+000	9,944425485346469E-001	0,000000000000000E+000	1,360743768354257E-002	1,360743768354257E-002	0,000000000000000E+000
2,050213140786841E+005	3,9467423E+000	1,224657561487788E+000	9,930531988718608E-001	0,000000000000000E+000	1,700926477548811E-002	1,700926477548811E-002	0,000000000000000E+000
2,050313140802487E+005	3,9531775E+000	1,224658105933218E+000	9,916638485914124E-001	0,000000000000000E+000	2,041109337978230E-002	2,041109337978230E-002	0,000000000000000E+000
2,050413140818133E+005	3,9588106E+000	1,224657847640106E+000	9,902744986039923E-001	0,000000000000000E+000	2,381292126659552E-002	2,381292126659552E-002	0,000000000000000E+000
2,050513140833779E+005	3,9639664E+000	1,224657507497909E+000	9,888851490024568E-001	0,000000000000000E+000	2,721474820856916E-002	2,721474820856916E-002	0,000000000000000E+000
2,050613140849426E+005	3,9687974E+000	1,224660671145066E+000	9,874957958118264E-001	0,000000000000000E+000	3,061658393845293E-002	3,061658393845293E-002	0,000000000000000E+000
2,050713140865072E+005	3,9731131E+000	1,224661627060367E+000	9,861064415367292E-001	0,000000000000000E+000	3,401842232365741E-002	3,401842232365741E-002	0,000000000000000E+000
2,050813140880713E+005	3,9772952E+000	1,224662065752676E+000	9,847170867640089E-001	0,000000000000000E+000	3,742026192729341E-002	3,742026192729341E-002	0,000000000000000E+000
2,050913140896360E+005	3,9813051E+000	1,224662112234947E+000	9,833277319384908E-001	0,000000000000000E+000	4,082210166020526E-002	4,082210166020526E-002	0,000000000000000E+000
2,051013140912006E+005	3,9850669E+000	1,224661974302668E+000	9,819383772694541E-001	0,000000000000000E+000	4,422394100997183E-002	4,422394100997183E-002	0,000000000000000E+000
2,051113140927652E+005	3,9886377E+000	1,224661643961858E+000	9,805490229751824E-001	0,000000000000000E+000	4,762577944212490E-002	4,762577944212490E-002	0,000000000000000E+000
2,051213140943298E+005	3,9923232E+000	1,224661591273744E+000	9,791596687406844E-001	0,000000000000000E+000	5,102761772792207E-002	5,102761772792207E-002	0,000000000000000E+000
2,051313140958945E+005	3,9956648E+000	1,224660735541914E+000	9,777703154769971E-001	0,000000000000000E+000	5,442945363668601E-002	5,442945363668601E-002	0,000000000000000E+000
2,051413140974591E+005	3,9990449E+000	1,224661155704526E+000	9,763809617366437E-001	0,000000000000000E+000	5,783129071256850E-002	5,783129071256850E-002	0,000000000000000E+000
2,051513140990237E+005	4,0023484E+000	1,224660022672858E+000	9,749916092816922E-001	0,000000000000000E+000	6,123312464114031E-002	6,123312464114031E-002	0,000000000000000E+000
2,051613141005883E+005	4,0055757E+000	1,224658788475435E+000	9,736022582269132E-001	0,000000000000000E+000	6,463495514138540E-002	6,463495514138540E-002	0,000000000000000E+000
2,051713141021529E+005	4,0085545E+000	1,224657285046257E+000	9,722129088777446E-001	0,000000000000000E+000	6,803678146543768E-002	6,803678146543768E-002	0,000000000000000E+000
